begin HEADER
  File_Creation        = "2009-11-10T23:04:33"
  File_ID              = "GOSAT Noise for Pol: P, Gain: M. Example only, real values vary with scene"
  Labels               = "COLOR_1" "CNV_COEF_1" "COLOR_2" "CNV_COEF_2" "COLOR_3" "CNV_COEF_3"
  Num_Columns          = 6
  Num_Rows             = 3508
  band_noise_values    = 1.276671e-01 8.014058e-02 9.291514e-02
  source_acos_l1b_file = /test/gds/system_test/B2.05.01/l1b/acos_L1b_090724_01_Production090929_091019194551t.hdf
  source_sounding_id   = 20090724012908
end HEADER

#         COLOR_1       CNV_COEF_1          COLOR_2       CNV_COEF_2          COLOR_3       CNV_COEF_3
   1.00000000e+00   5.01199580e-08   1.00000000e+00   5.22763521e-08   1.00000000e+00   2.29023751e-08
   2.00000000e+00   5.00656441e-08   2.00000000e+00   5.22661772e-08   2.00000000e+00   2.28671766e-08
   3.00000000e+00   5.00189223e-08   3.00000000e+00   5.22562118e-08   3.00000000e+00   2.28395791e-08
   4.00000000e+00   4.99709856e-08   4.00000000e+00   5.22400470e-08   4.00000000e+00   2.28004922e-08
   5.00000000e+00   4.99172295e-08   5.00000000e+00   5.22266568e-08   5.00000000e+00   2.27724346e-08
   6.00000000e+00   4.98634734e-08   6.00000000e+00   5.22219707e-08   6.00000000e+00   2.27383286e-08
   7.00000000e+00   4.97983592e-08   7.00000000e+00   5.22041432e-08   7.00000000e+00   2.27114114e-08
   8.00000000e+00   4.97275643e-08   8.00000000e+00   5.21915418e-08   8.00000000e+00   2.26825900e-08
   9.00000000e+00   4.96519625e-08   9.00000000e+00   5.21799848e-08   9.00000000e+00   2.26589698e-08
   1.00000000e+01   4.95511969e-08   1.00000000e+01   5.21670778e-08   1.00000000e+01   2.26334667e-08
   1.10000000e+01   4.94504278e-08   1.10000000e+01   5.21543093e-08   1.10000000e+01   2.26156693e-08
   1.20000000e+01   4.93710068e-08   1.20000000e+01   5.21456052e-08   1.20000000e+01   2.25924719e-08
   1.30000000e+01   4.93028800e-08   1.30000000e+01   5.21291419e-08   1.30000000e+01   2.25717720e-08
   1.40000000e+01   4.92347212e-08   1.40000000e+01   5.21195425e-08   1.40000000e+01   2.25537118e-08
   1.50000000e+01   4.91663883e-08   1.50000000e+01   5.21068735e-08   1.50000000e+01   2.25393642e-08
   1.60000000e+01   4.90980590e-08   1.60000000e+01   5.21000274e-08   1.60000000e+01   2.25225030e-08
   1.70000000e+01   4.90592633e-08   1.70000000e+01   5.20861718e-08   1.70000000e+01   2.25023165e-08
   1.80000000e+01   4.90369807e-08   1.80000000e+01   5.20712184e-08   1.80000000e+01   2.24837997e-08
   1.90000000e+01   4.90092766e-08   1.90000000e+01   5.20641414e-08   1.90000000e+01   2.24743335e-08
   2.00000000e+01   4.89468448e-08   2.00000000e+01   5.20566310e-08   2.00000000e+01   2.24609877e-08
   2.10000000e+01   4.88844165e-08   2.10000000e+01   5.20336876e-08   2.10000000e+01   2.24449170e-08
   2.20000000e+01   4.88360179e-08   2.20000000e+01   5.20197077e-08   2.20000000e+01   2.24307311e-08
   2.30000000e+01   4.87959113e-08   2.30000000e+01   5.20148475e-08   2.30000000e+01   2.24362076e-08
   2.40000000e+01   4.87494347e-08   2.40000000e+01   5.20127301e-08   2.40000000e+01   2.24365948e-08
   2.50000000e+01   4.86572915e-08   2.50000000e+01   5.20077279e-08   2.50000000e+01   2.24229169e-08
   2.60000000e+01   4.85651483e-08   2.60000000e+01   5.19966683e-08   2.60000000e+01   2.24110899e-08
   2.70000000e+01   4.84930673e-08   2.70000000e+01   5.19883869e-08   2.70000000e+01   2.24064713e-08
   2.80000000e+01   4.84334919e-08   2.80000000e+01   5.19769898e-08   2.80000000e+01   2.23988312e-08
   2.90000000e+01   4.83752487e-08   2.90000000e+01   5.19690317e-08   2.90000000e+01   2.23888730e-08
   3.00000000e+01   4.83278271e-08   3.00000000e+01   5.19644203e-08   3.00000000e+01   2.23831247e-08
   3.10000000e+01   4.82804055e-08   3.10000000e+01   5.19564800e-08   3.10000000e+01   2.23763799e-08
   3.20000000e+01   4.82405440e-08   3.20000000e+01   5.19420986e-08   3.20000000e+01   2.23754988e-08
   3.30000000e+01   4.82056564e-08   3.30000000e+01   5.19313410e-08   3.30000000e+01   2.23737562e-08
   3.40000000e+01   4.81714402e-08   3.40000000e+01   5.19211873e-08   3.40000000e+01   2.23658478e-08
   3.50000000e+01   4.81434519e-08   3.50000000e+01   5.19159506e-08   3.50000000e+01   2.23572201e-08
   3.60000000e+01   4.81154672e-08   3.60000000e+01   5.19071470e-08   3.60000000e+01   2.23528254e-08
   3.70000000e+01   4.80759326e-08   3.70000000e+01   5.18900656e-08   3.70000000e+01   2.23493686e-08
   3.80000000e+01   4.80283830e-08   3.80000000e+01   5.18838661e-08   3.80000000e+01   2.23449916e-08
   3.90000000e+01   4.79801763e-08   3.90000000e+01   5.18676693e-08   3.90000000e+01   2.23381331e-08
   4.00000000e+01   4.79247859e-08   4.00000000e+01   5.18597396e-08   4.00000000e+01   2.23406964e-08
   4.10000000e+01   4.78693991e-08   4.10000000e+01   5.18448857e-08   4.10000000e+01   2.23434142e-08
   4.20000000e+01   4.78106905e-08   4.20000000e+01   5.18320284e-08   4.20000000e+01   2.23382894e-08
   4.30000000e+01   4.77495590e-08   4.30000000e+01   5.18239354e-08   4.30000000e+01   2.23346870e-08
   4.40000000e+01   4.76901008e-08   4.40000000e+01   5.18154479e-08   4.40000000e+01   2.23331078e-08
   4.50000000e+01   4.76523816e-08   4.50000000e+01   5.18033367e-08   4.50000000e+01   2.23331966e-08
   4.60000000e+01   4.76146624e-08   4.60000000e+01   5.17897547e-08   4.60000000e+01   2.23323120e-08
   4.70000000e+01   4.75820983e-08   4.70000000e+01   5.17657632e-08   4.70000000e+01   2.23293632e-08
   4.80000000e+01   4.75535025e-08   4.80000000e+01   5.17548990e-08   4.80000000e+01   2.23286154e-08
   4.90000000e+01   4.75255142e-08   4.90000000e+01   5.17490477e-08   4.90000000e+01   2.23279173e-08
   5.00000000e+01   4.75072675e-08   5.00000000e+01   5.17424894e-08   5.00000000e+01   2.23269545e-08
   5.10000000e+01   4.74890207e-08   5.10000000e+01   5.17224450e-08   5.10000000e+01   2.23260219e-08
   5.20000000e+01   4.74633701e-08   5.20000000e+01   5.17136414e-08   5.20000000e+01   2.23245546e-08
   5.30000000e+01   4.74317261e-08   5.30000000e+01   5.17018854e-08   5.30000000e+01   2.23233769e-08
   5.40000000e+01   4.73987463e-08   5.40000000e+01   5.16898098e-08   5.40000000e+01   2.23222933e-08
   5.50000000e+01   4.73382187e-08   5.50000000e+01   5.16769205e-08   5.50000000e+01   2.23212400e-08
   5.60000000e+01   4.72776911e-08   5.60000000e+01   5.16666603e-08   5.60000000e+01   2.23202186e-08
   5.70000000e+01   4.72258641e-08   5.70000000e+01   5.16533305e-08   5.70000000e+01   2.23193162e-08
